Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
AI’s effect on innovation capacity in the context of industry 5.0: a scoping review,Artificial Intelligence Review,,,,10.1007/s10462-024-10864-6,Adrien BécueJoao GamaPedro Quelhas Brito,2024,https://link.springer.com/article/10.1007/s10462-024-10864-6,Article,"The classic literature about innovation conveys innovation strategy the leading and starting role to generate business growth due to technology development and more effective managerial practices. The advent of Artificial Intelligence (AI) however reverts this paradigm in the context of Industry 5.0. The focus is moving from “how innovation fosters AI” to “how AI fosters innovation”. Therefore, our research question can be stated as follows: What factors influence the effect of AI on Innovation Capacity in the context of Industry 5.0? To address this question we conduct a scoping review of a vast body of literature spanning engineering, human sciences, and management science. We conduct a keyword-based literature search completed by bibliographic analysis, then classify the resulting 333 works into 3 classes and 15 clusters which we critically analyze. We extract 3 hypotheses setting associations between 4 factors: company age, AI maturity, manufacturing strategy, and innovation capacity. The review uncovers several debates and research gaps left unsolved by the existing literature. In particular, it raises the debate whether the Industry5.0 promise can be achieved while Artificial General Intelligence (AGI) remains out of reach. It explores diverging possible futures driven toward social manufacturing or mass customization. Finally, it discusses alternative AI policies and their incidence on open and internal innovation. We conclude that the effect of AI on innovation capacity can be synergic, deceptive, or substitutive depending on the alignment of the uncovered factors. Moreover, we identify a set of 12 indicators enabling us to measure these factors to predict AI’s effect on innovation capacity. These findings provide researchers with a new understanding of the interplay between artificial intelligence and human intelligence. They provide practitioners with decision metrics for a successful transition to Industry 5.0."
Cognitive Ergonomics in Industry 5.0,Flexible Automation and Intelligent Manufacturing: Establishing Bridges for More Sustainable Manufacturing Systems,,,,10.1007/978-3-031-38165-2_88,Maja TrstenjakMiro HegedićHrvoje CajnerTihomir OpetukNataša Tošanović,2024,https://link.springer.com/chapter/10.1007/978-3-031-38165-2_88,Conference paper,"Industry 5.0 is a concept that represents a human-centered, resilient, and sustainable manufacturing system. With the increase in the importance of the human role within the system, there is a need to adapt standard ergonomic methods to ensure safety within the work environment. The human-centered approach extends the limits of work safety to well-being principles while the new digital technologies which seek human interaction demand enhanced cognitive functions. In this paper, the principles of cognitive ergonomics will be presented as their current use in manufacturing. Due to digitalization, the human operators' role demands changes to the principles of Industry 5.0 ergonomics. The novel framework of cognitive ergonomics implementation in Industry 5.0 will be presented based on a literature review. Results will be used in a future work to implement the novel and innovative digital production and process planning system in the local stove manufacturing company."
Fostering AI-Human Collaboration in Industry 5.0 Manufacturing,"Proceedings of the 22nd Congress of the International Ergonomics Association, Volume 2",,,,10.1007/978-981-96-8908-8_69,Ali KarevanSylvie Nadeau,2025,https://link.springer.com/chapter/10.1007/978-981-96-8908-8_69,Conference paper,"In the transition to Industry 5.0, the integration of artificial intelligence with human-centric principles emerges as a pivotal strategy to enhance manufacturing efficiency and safety while minimizing human errors. This paper explores the symbiotic relationship between AI and human workers, leveraging wearable technology and real-time data collaboration to foster a harmonious environment. By analyzing existing literature and employing a methodology rooted in Industry 5.0 values, this study investigates how AI-driven systems can mitigate human errors without displacing human involvement. Results show that the use of an AI-powered model, utilizing machine learning algorithms to detect anomalies and proactively address risks, is promising to augment operational efficiencies. Moreover, the study extends existing research by incorporating a novel approach that combines STPA-PSO modeling with machine learning, resulting in a dynamic system capable of continuous improvement. Discussion emphasizes the collaborative nature of AI, empowering human workers with intelligent tools while preserving creativity and enhancing working conditions. Ultimately, this research underscores the imperative for AI deployment to align with human-centric principles, fostering a synergistic relationship that propels manufacturing practices towards safer and more efficient outcomes in the Industry 5.0 era."
Industry 5.0. Digital Twins in the Process Industry. A Bibliometric Analysis,"Cloud Computing, Big Data and Emerging Topics",,,,10.1007/978-3-031-70807-7_7,Federico Walas MateoArmando De Giusti,2025,https://link.springer.com/chapter/10.1007/978-3-031-70807-7_7,Conference paper,"In the context of industrial digitalization, the Industry 5.0 model incorporates digital twins as an innovative tool. This study aims to delve deeper into the concept of digital twins, their integration with the Industrial Internet of Things (IIoT), and how these solutions contribute to bring intelligence into industrial environments.
Digitalization in industry enables connected products and processes to enhance the productivity and efficiency of people, plants, and equipment. The outcomes of these improvements should have widespread impacts on both the economy and the environment. As connected products and processes generate data, this data is increasingly viewed as a fundamental source of competitive advantage, posing new challenges in industrial environments.
The article examines digital twin technology, its integration with IIoT and the intelligence of this devices in the Industry 5.0 or smart manufacturing framework. The focus lies on discussing about the contribution of digital twins for optimizing industrial processes.
The paper reviews relevant articles and conducts a bibliometric analysis of key topics surrounding digital twins as a value-added solution for process optimization within the Industry 5.0 paradigm. The primary findings highlight the growing significance of this subject since 2018, as evidenced by the number of published articles in the Scopus Database. Additionally, the study underscores the complexity of digital twins addressing this issue within the industrial environment."
Toward human-centric Industry 5.0: a framework for cognitive workload assessment in maintenance and assembly,Journal of Intelligent Manufacturing,,,,10.1007/s10845-025-02716-z,Micaela VittiAngelica CotruvoFrancesco Facchini,2025,https://link.springer.com/article/10.1007/s10845-025-02716-z,Article,"In the transition from Industry 4.0 to Industry 5.0 (I5.0), the focus of manufacturing is shifting toward human-centric, sustainable, and resilient systems. A key challenge in this evolution is managing the cognitive workload (CWL) of operators, especially during complex tasks such as maintenance and assembly. These activities are central to industrial operations and often involve high mental demands due to task variability, decision-making under pressure, and human–machine collaboration. Despite a growing body of research on CWL, there remains a lack of clarity regarding the most suitable assessment methods for specific industrial tasks. This study addresses that gap by conducting a systematic literature review to identify how CWL is measured across distinct categories of maintenance and assembly operations, the results of which were used to develop a framework for measuring CWL and a matrix of CWL assessment guidelines. Findings show that different task categories present distinct cognitive demands, which influence the selection of CWL assessment methods. Routine and structured tasks are typically assessed using subjective or basic physiological measures, while more complex and dynamic tasks increasingly require multimodal approaches combining subjective, physiological, and performance-based data. Additionally, the review revealed intra-domain similarities and inter-domain differences that highlight the need for task-specific CWL evaluation strategies. Based on these insights, the study proposes a framework that maps suitable CWL assessment methods to categories of maintenance and assembly tasks, along with a CWL assessment guidelines matrix to support method selection according to task complexity and operational impact. By offering a structured approach to CWL evaluation, this work contributes to the transition toward adaptive, human-centric industrial systems in line with the I5.0 paradigm."
A novel hybrid model for supplier selection problem based on the viability and industry 5.0 pillars: Application in the energy sector,"Environment, Development and Sustainability",,,,10.1007/s10668-025-07044-z,Elham MashhadiAmirReza TajallySeyed Mohammadreza Vatankhah GhamsariMohssen Ghanavati-NejadReza MoghdaniVahid Yahyapour-Ganji,2025,https://link.springer.com/article/10.1007/s10668-025-07044-z,Article,"The significant progress of supply chain management in the last decade and also the challenges caused by the Coronavirus outbreak have resulted in the emergence of new concepts, such as supply chain 5.0 and viable supply chain, in this field. Despite the critically important role of the mentioned concepts, their simultaneous consideration in the Supplier Selection Problem (SSP) has been ignored in the literature. Hence, this article develops a hybrid approach to study the SSP with the viability and Industry 5.0 dimensions. To this end, first of all, the aspects, criteria, and alternatives are identified. Then, a novel approach named the Lexicographic Stochastic Fuzzy Best–Worst Method (LSFBWM) is suggested to compute the weights of the aspects and criteria. Afterwards, a novel method named Stochastic Fuzzy Normalized Weighted Sum (SFNWS) is developed to evaluate the feasible alternatives. To demonstrate the application and applicability of the proposed hybrid model, a case study in the energy sector has been investigated. The obtained results confirm the validity and efficiency of the developed LSFBWM and SFNWS. Furthermore, according to achieved outputs,‌ responsiveness, price, quality, robustness, waste management, and reliability have been identified as the most important indicators. Also, suppliers A2 and A1 are identified as the most appropriate suppliers."
A Sustainable Innovation Framework Based on Lean Six Sigma and Industry 5.0,Arabian Journal for Science and Engineering,,,,10.1007/s13369-023-08565-3,Benedictus RahardjoFu-Kwun WangShih-Che LoTzu-Hsien Chu,2023,https://link.springer.com/article/10.1007/s13369-023-08565-3,Article,"Industry 5.0 envisions a human-centered approach to design and value creation. In addition, the Lean Six Sigma (LSS) methodology has proved successful in enhancing production activities and quality. By integrating LSS into a human-oriented discipline, we can achieve a harmonious blend of more humane processes and a conducive result-driven environment. The Lean concept adopts a people-centric approach, prioritizing the well-being of employees and customers, while emphasizing sustainable development. Concurrently, the Six Sigma philosophy and Industry 5.0 highlight innovation to minimize process variation and attain iterative process improvement. To attain process excellence, we propose a novel sustainable innovation framework (SIF) utilizing inductive and integrative approaches based on LSS methodology and Industry 5.0 technologies. We have developed three Lean 5.0 tools, the RIDEM (Requirements, Initiation, Design, Execution, and Monitoring) approach and LSS 5.0 implementation steps. We have conducted a case study to demonstrate the practical application and outcomes of LSS 5.0 tools. Implementing these tools resulted in a remarkable reduction of over 80% in defective parts per million (DPPM), leading to direct savings of NT$104,000 for the case company. This research contributes significantly through the proposed framework, making the practical concepts more readily implementable within work organizations."
Applications of Enabling Technologies for Industry 4.0 and Industry 5.0 in Manufacturing Sectors: A Review,"Intelligent Production and Industry 5.0 with Human Touch, Resilience, and Circular Economy",,,,10.1007/978-3-031-77723-3_15,Arvin ShadravanHamid R. Parsaei,2025,https://link.springer.com/chapter/10.1007/978-3-031-77723-3_15,Conference paper,"Originating in Germany, “Industry 4.0” emerged as a catalyst for technological progress in the industrial landscape, garnering global attention. This led to widespread exploration and adoption of Industry 4.0 technologies by various nations. A decade later, the European Commission introduced “Industry 5.0”, emphasizing value creation over pure technological advancement. This sparked discussions about the coexistence of these two industrial transformations. Integrating new technologies and complex products significantly impacts the business sector, which is crucial for economic development. Critics note Industry 4.0’s focus on digitalization and emerging technologies, which paved the way for Industry 5.0, emphasizing the importance of the workforce. Notable advancements in Industry 4.0 include Artificial Intelligence, the Internet of Things, and Cyber-Physical Systems, reducing human involvement in decision-making processes. On the other hand, Industry 5.0 emphasizes human-centric methods by introducing ideas like hyper-customization and predictive maintenance. The construction of a human-centered, sustainable, and comprehensive value generation model is the main goal of the transition to Industry 5.0. Nonetheless, the intricacies of digitalization pose noteworthy obstacles, especially for small and medium-sized businesses (SMEs) who do not possess the financial means to undertake comprehensive digital projects. This paper explores advancements in Industry 4.0 and 5.0, with concerns including technical integration and data protection. The resilience of Industry 5.0 supports hyper-individualization. This study also explores the drivers and facilitators of these evolving paradigms, providing a structured framework to understand the technologies, challenges, and potential solutions associated with Industry 4.0."
Preparing for Industry 5.0: Inclusive Curricular Approaches and Digital Empowerment,"AI and Digital Transformation: Innovations in Supply Chain, Education, and Energy Systems",,,,10.1007/978-3-031-86837-5_7,Pallavi DhamakPadmanabha AitalAnand DaftardarBhaveshkumar Pasi,2025,https://link.springer.com/chapter/10.1007/978-3-031-86837-5_7,Conference paper,"This paper explores the necessary change in education to meet the requirements of Industry 5.0, focusing on the need of an inclusive curricular pedagogy. The purpose mentioned promotes the acceptance of diversity and the elimination of digital disparities, with the goal of providing learners with the necessary skills for success of Industry 5.0. The exploration encompasses important issues, such as ensuring equitable access to digital resources, aligning technology with teaching methods, adapting to different cultures and languages, empowering teachers, and implementing comprehensive assessments within inclusive educational frameworks. In addition, a comprehensive examination of three key pedagogical methods in Higher Education Institutions (HEIs)—E-learning, Project-Based Learning and Blended Learning—offers valuable insights into the worldwide transformation of teaching and learning practices in Industry 5.0 era. The conclusion underlines the importance of promoting inclusive curricular pedagogy and emphasises the profound effect of these pedagogies have on preparing learners for Industry 5.0."
"Navigating the transition to industry 5.0: advancing sustainability, resilience, and human-centricity in Spanish supply chain management",Discover Sustainability,,,,10.1007/s43621-025-01190-0,C. CastilloT. Otero-RomeroE. J. Alvarez-Palau,2025,https://link.springer.com/article/10.1007/s43621-025-01190-0,Article,"This study examines the adoption of Industry 5.0 (I5.0) principles within Supply Chain Management (SCM), focusing on the Spanish context as an early adopter. While Industry 4.0 (I4.0) prioritised automation and efficiency, I5.0 introduces a paradigm shift by integrating sustainability, resilience, and human-centricity into supply chains. Using a qualitative methodology, this study analyses 25 interviews with industry professionals, applying a co-occurrence analysis to uncover interdependencies between organisational culture, leadership, and digital tools in the transition to I5.0. The findings reveal that resistance to change, financial constraints, and sectoral misalignment are critical barriers, particularly for small and medium enterprises. However, proactive leadership, the integration of circular economy practices, and customised digitalisation strategies emerge as key enablers. A significant contribution of this research is its identification of human–machine collaboration and digitalisation as catalysts for both sustainability and resilience in SCM, demonstrating how these elements enhance adaptability and long-term competitiveness. The study moves beyond theoretical discussions to provide practical strategies for overcoming transition barriers, emphasising the role of leadership-driven cultural transformation, workforce engagement, and sector-specific digitalisation approaches. By embedding sustainability and human-centric digital innovation into SCM, organisations can create agile, resilient, and people-oriented supply chains that align with the evolving demands of I5.0. This research contributes new empirical insights into I5.0 adoption, offering both theoretical advancements and actionable implications for practitioners."
Fashion and Textile Industry 5.0: Is It Already Here?,Advances in Fashion and Design Research III,,,,10.1007/978-3-031-83185-0_41,Fernando Moreira da Silva,2025,https://link.springer.com/chapter/10.1007/978-3-031-83185-0_41,Conference paper,"This article addresses the use of Industry 4.0 and Industry 5.0 in the textile and clothing industry, as part of an ongoing Research Project on the subject. Artificial Intelligence (AI) is increasingly a reality in Industry 4.0 where there is a predominance of the Smart concept. This intelligence is transferred from humans to things, helped by multiple tools which demonstrate great potential for dealing with the new challenges imposed on textile and fashion companies. However, it appears that, despite the emergence of technological innovations that could revolutionize the entire value chain of the Fashion Industry, it is still far from adopting them. The research methodology used was based on a Literature Review through basic research with theoretical foundations, with a qualitative and descriptive approach, and a Survey by interview with designers that work in the textile or fashion industry, in Portugal. The preliminary results show a great lack of knowledge of the objectives and pillars of Industry 4.0, with many companies still taking their first steps. Regarding the introduction of the pillars of Industry 5.0 complementing Industry 4.0, with a greater focus on human beings and their articulation with machines, the situation is still in an embryonic state."
Human-Centric Innovation: Balancing Technology and Leadership in Industry 5.0,Digital Solutions for Environmental and Economic Development,,,,10.1007/978-981-96-5066-8_18,Punj Lata SinghShweta,2025,https://link.springer.com/chapter/10.1007/978-981-96-5066-8_18,Conference paper,"Industry 5.0 represents a paradigm shift from the automation and efficiency focus of Industry 4.0 to a more human-centric approach, emphasizing integrating such advanced technologies as AI and robotics with human skills and creativity. The PRISMA framework provides a systematic, transparent, reproducible review process to build a comprehensive understanding of balancing human-centered innovation with technology and leadership in Industry 5.0. This approach accords with the decision of the most relevant, high-quality studies but also documents the research process accurately to enhance the review’s credibility. This paper delves into the importance of balancing technological advances and leadership in Industry 5.0, emphasizing human-centric innovation. The paper articulates how organizational setups will use technology to empower the workforce, unleash productivity, and create a competitive, workable, inclusive environment. The paper concludes by outlining strategies the leader can adopt to navigate this change effectively."
Industry 4.0. Upsides and Downsides. Towards Industry 5.0,International Conference on Reliable Systems Engineering (ICoRSE) - 2024,,,,10.1007/978-3-031-70670-7_7,Andreea StanciuAurel Mihail ȚîțuOlena HrybiukJosé Machado,2024,https://link.springer.com/chapter/10.1007/978-3-031-70670-7_7,Conference paper,"The current paper intends to be a comprehensive review of literature on Industry 4.0 and to grasp the meaning some scholars associate with the concept of Industry 5.0, while presenting both the positive and the negative aspects brought about by the fourth industrial revolution. If in most examined references the positive aspects of Industry 4.0 and its good impact on society prevail, the novelty of the current review will have an important role in terms of discussing its downsides too, the points that need improving, as well as the trends identified in recent literature. Thus, the current review will aim at shedding light on the concept of Industry 4.0 from a complex perspective and analyzing how the current directions will eventually lead to its transformation into a new concept and reality, called Industry 5.0."
Scheduling in the Industry 5.0 Environment: A Bibliometric Analysis,Intelligent and Fuzzy Systems,,,,10.1007/978-3-031-97985-9_86,Ramazan BaşarOrhan Engin,2025,https://link.springer.com/chapter/10.1007/978-3-031-97985-9_86,Conference paper,"The results of the bibliographic analysis evaluate the development of a field by examining publications, citations, and other metrics in the scientific literature. By bringing together the results of the analysis, trends in the literature, important figures, and the general development of the field can be understood. In this research, all scheduling studies in the Industry 5.0 environment that contained the words “Industry 5.0” and “scheduling” in the study title, abstract, and keywords were scanned using the Web of Science database. This database has a large corpus of data. As a result of the screening, a total of 62 studies were subjected to bibliometric analysis. The bibliometric package in the RStudio program was used for data analysis. As a result of the bibliometric analysis, various analyzes were performed according to year, author, keyword, source of publication, number of citations, institutions, and countries of publication, and the current situation related to academic writing was examined. According to the results obtained, industry 5.0-based scheduling studies are a very new topic that started to be studied in 2019 and has an annual growth rate of 25.99%."
The research landscape of industry 5.0: a scientific mapping based on bibliometric and topic modeling techniques,Flexible Services and Manufacturing Journal,,,,10.1007/s10696-024-09584-4,Abderahman RejebKarim RejebImen ZrelliYasanur KayikciAbdo Hassoun,2024,https://link.springer.com/article/10.1007/s10696-024-09584-4,Article,"Industry 5.0 (I5.0) marks a transformative shift toward integrating advanced technologies with human-centric design to foster innovation, resilient manufacturing, and sustainability. This study aims to examine the evolution and collaborative dynamics of I5.0 research through a bibliometric analysis of 942 journal articles from the Scopus database. Our findings reveal a significant increase in I5.0 research, particularly post-2020, yet highlight fragmented collaboration networks and a noticeable gap between institutions in developed and developing countries. Key thematic areas identified include human-robot collaboration, data management and security, AI-driven innovation, and sustainable practices. These insights suggest that a more integrated approach is essential for advancing I5.0, calling for strengthened global collaborations and a balanced emphasis on both technological and human-centric elements to fully realize its potential in driving resilient and sustainable industrial practices. This study provides the first comprehensive bibliometric analysis of I5.0, offering valuable insights for both researchers and practitioners."
"Global Perspectives on Navigating Industry 5.0 Knowledge: Achieving Resilience, Sustainability, and Human-Centric Innovation in Manufacturing",Journal of the Knowledge Economy,,,,10.1007/s13132-024-02498-4,Riyaz Abdullah SheikhIrfan AhmedAli Yahya A. FaqihiYasser Moustafa Shehawy,2024,https://link.springer.com/article/10.1007/s13132-024-02498-4,Article,"Technological competitiveness is crucial for differentiation, market penetration, and organizational performance. Emerging economies must implement efficient policies and facilitate technology transfer. Although Industry 5.0 (I5.0) aims to address social and environmental issues, managing it remains a knowledge gap. The study's main goals are to give a full picture of how to support I5.0 goals, putting people first, being sustainable, and being resilient making it easier for people and businesses to work together. The study employs a systematic literature review as the research methodology consolidates fragmented insights and approaches, strategically outlining I5.0's components. The research findings underscore I5.0's focus on sustainability, human-centricity, and resilience, aligning with the 6Rs policy for waste prevention and leveraging key technologies. Primary technological enablers encompass digital twins, robots, the Internet of Everything, blockchain, big data analytics, 6G networks, XR private mobile networks, edge computing, network slicing, and extended reality. Policymakers and practitioners can benefit from the research's recommendations, which outline the various approaches and strategies needed to transition to I5.0. Therefore, this study bridges the knowledge gap in I5.0, providing valuable insights for scholars, industrialists, and policymakers. The outlined roadmap guides stakeholders in navigating the paradigm shift toward a sustainable industrial future, acknowledging limitations and paving the way for future research in this pioneering effort."
An Analysis and Identification of Current Trends in Research on the Manufacturing Industry: Industry 4.0 Versus Industry 5.0,The 18th International Conference Interdisciplinarity in Engineering,,,,10.1007/978-3-031-81378-8_1,Mihaela Bucur,2025,https://link.springer.com/chapter/10.1007/978-3-031-81378-8_1,Conference paper,"This study delves into the evolving concepts of Industry 4.0 and the anticipated progressions of Industry 5.0, focusing on their theoretical underpinnings and potential real-world applications. The main aim of this research is to thoroughly assess the fundamental principles, technological frameworks, and theories of Industry 4.0, while also examining the shifting perspectives surrounding Industry 5.0. The research seeks to build a strong theoretical framework that highlights the evolution, distinct features, and predicted impact of these industrial paradigms on production processes and organizational models. By critically analyzing existing literature, the study uncovers essential insights into the transformative power of Industry 4.0 technologies, particularly in improving production efficiency, optimizing supply chains, and enabling predictive maintenance. Furthermore, the paper explores the anticipated shift in focus that Industry 5.0 brings, moving towards human-centered, inclusive industrial ecosystems, which emphasize collaboration between humans and advanced technologies. As AI-driven automation, machine learning, and robotics advance, they are reshaping the landscape of Industry 4.0, providing new approaches to enhance decision-making and operational efficiency. On the other hand, Industry 5.0 introduces a more human-centric automation model, where collaborative robots and AI systems work alongside people, harnessing human creativity and decision-making in addressing complex challenges. The study argues that these advancements are set to create more sustainable and adaptable industrial ecosystems, addressing both technological and socio-economic challenges in the future."
Towards industry 5.0: evolving the product-process matrix in the new paradigm,The Journal of Technology Transfer,,,,10.1007/s10961-023-10053-7,Montserrat Jiménez-PartearroyoAna Medina-LópezDavid Juárez-Varón,2023,https://link.springer.com/article/10.1007/s10961-023-10053-7,Article,"The Hayes-Wheelwright Product-Process Matrix (PPM) has historically been a pivotal tool in manufacturing, guiding firms to strategically align product volume and variety with the most optimal production process. Delving into its developmental journey, this research thoroughly examines the PPM's evolution through the industrial eras. From the outset of Industry 2.0, marked by the adoption of Flexible Manufacturing Systems prioritizing mass customization, to the inception of Industry 4.0, characterized by a seamless integration of digital and physical systems with a pronounced focus on tailored products, the matrix has consistently adapted. The main findings of this work underline the imperative to reconceptualize the PPM within the context of Industry 5.0. Building on this foundation, a new model is here proposed to represent the PPM matrix in the Industry 5.0 environment that incorporates creative and technological innovation and the concept of sustainability. This entails a fusion of cutting-edge technological developments, urgent sustainability considerations, and the unyielding deep human insights. The proposed matrix (PPM 5.0) maps each product to the most suitable production process and guides companies in selecting processes that align with sustainable objectives. Furthermore, it provides a flexible foundation designed to readily adapt to evolving market demands, technological advancements, and emerging trends in manufacturing, offering substantial benefits to practitioners and business owners in their strategic design decisions and technology investments. To achieve these insights, a qualitative methodology is employed, grounded in an exhaustive review of the extant literature, thereby ensuring a holistic and informed perspective on the future trajectory of industrial practices."
Human-robot interaction using retrieval-augmented generation and fine-tuning with transformer neural networks in industry 5.0,Scientific Reports,,,,10.1038/s41598-025-12742-9,Hamed Fazlollahtabar,2025,https://link.springer.com/article/10.1038/s41598-025-12742-9,Article,"The integration of Artificial Intelligence (AI) in Human-Robot Interaction (HRI) has significantly improved automation in the modern manufacturing environments. This paper proposes a new framework of using Retrieval-Augmented Generation (RAG) together with fine-tuned Transformer Neural Networks to improve robotic decision making and flexibility in group working conditions. Unlike the traditional rigid rule based robotic systems, this approach retrieves and uses domain specific information and responds dynamically in real time, thus increasing the performance of the tasks and the intimacy between people and robots. One of the significant findings of this research is the application of regret-based learning, which helps the robots learn from previous mistakes and reduce regret in order to improve the decisions in the future. A model is developed to represent the interaction between RAG based knowledge acquisition and Transformers for optimization along with regret based learning for predictable improvement. To validate the effectiveness of the proposed system, a numerical case study is carried out to compare the performance with the conventional robotic systems in a production environment. Furthermore, this research offers a clear approach for implementing such a system, which includes the system architecture and parameters for the AI-based human-robot manufacturing systems. This research solves some of the major issues including the problems of scalability, specific fine-tuning, multimodal learning, and the ethical issues in the integration of AI in robotics. The outcomes of the study are important in Industry 5.0, intelligent manufacturing and collaborative robotics, and the advancement of highly autonomous, flexible and intelligent production systems."
IoT-Driven Stator Winding Fault Analysis and Prevention for Induction Motor to Meet Industry 5.0 Application,Journal of Failure Analysis and Prevention,,,,10.1007/s11668-025-02249-w,Kapu V Sri Ram PrasadSalapu Ramya SreePyla TanujaThimadani PujithaNeelapu Harsha VardhaniGedela Jhansi,2025,https://link.springer.com/article/10.1007/s11668-025-02249-w,Article,"Induction motors (IM) are essential machines in various industrial applications due to their reliability and efficiency. The faults of stator winding (SW) can lead to severe performance issues if not detected early. This article presents a real-time condition monitoring and control system based on the Internet of Things (IoT), developed using low-cost components. The system utilizes an ESP32 microcontroller connected to voltage (ZMPT101B), current (SCT-013-030), temperature, and humidity (DHT22) sensors to predict voltage, current, humidity, and temperature, respectively. Transmitted data to the Blynk platform, users can remotely monitor motor parameters and control the IM under abnormal conditions. Artificial SW fault is created on slots 13 and 14 to identify different electrical parameters. The motor is tracked via the Internet of Things to avoid unexpected breakdowns. The experimental results demonstrated distinct parameter variations during fault instances, and the test motor (IM) was observed under both healthy and stator-faulty conditions. The motor is operating at a voltage of 125.28 V, an increase in current to 0.635 A, humidity of 95.58, and a temperature raised to 67.08 °C; the suggested work prevents rapid breakdown. These aberrant numbers indicate that the system can identify and notify operators of possible problems by acting as indications of the existence of a fault. Proactive maintenance is made quicker by the Internet of Things-based strategy, which diminishes the probability of unexpected malfunctions and minimizes downtime when combined with remote control instructions and real-time warnings. Reliable monitoring of induction motors is provided by this scalable and affordable monitoring solution, improving operational efficiency and safety. The proposed approach enhances automation with human oversight for sustainable industrial growth by decreasing the requirement for manual supervision and facilitating early problem detection, which is in line with Industry 5.0 application."
Digital Twins of Manufacturing Processes Under Industry 5.0,Advances in Artificial Intelligence in Manufacturing II,,,,10.1007/978-3-031-86489-6_1,Alexios PapacharalampopoulosKyriakos SabatakakisOlga Maria KaragianniPanagiotis Stavropoulos,2025,https://link.springer.com/chapter/10.1007/978-3-031-86489-6_1,Conference paper,"Digital Twins of manufacturing processes are expected to boost processes’ performance and efficiency, since they are able to run optimization in real-time and provide feedback and/or control to them . At the same time, their adaptivity allows for uncertainty handling, through specific parameters estimation or addressing the processes in a robust way. However, it is still pending to investigate how the emerging Industry 5.0 and the relevant viewpoints of the involved technologies will affect the operation of the digital twins. To this end, herein, a multifold and systematic analysis is run to see how Industry 5.0 affects the digital twin concept, taking into account human centricity in terms of inclusion and empowerment. Next sustainability and resilience are also studied under the same context. To achieve this, a hypothetical case study of Additive Manufacturing optimization is taken into consideration, as well as the link to other manufacturing functionalities (as jobs), for the sake of completeness."
Strategic Leadership 5.0: Reality or Illusion?,Journal of the Knowledge Economy,,,,10.1007/s13132-025-02785-8,James WhiteheadMohamed Ashmel Mohamed HashimIssam TlemsaniSayed Abdul Majid Gilani,2025,https://link.springer.com/article/10.1007/s13132-025-02785-8,Article,"This study initiates an exploration into strategic leadership within the context of the emerging Industry 5.0 (I5.0) era, integrating strategic leadership theory with the principles of Industry 5.0. Unlike Industry 4.0, which primarily focuses on managing technological capabilities, Industry 5.0 seeks to fundamentally transform business operations, societal consumption patterns and environmental protection by emphasizing a sustainable, human-centric and resilient industrial future. This shift is expected to have a significant impact on organisational performance. This conceptual study investigates how strategic leadership might adapt in this new era and explores the potential implications for organisational performance by mapping causal links between leadership and previous industrial epochs. It also identifies areas for future empirical research. Considering the diverse impact of factors such as inspirational vision, cognitive decision-making, strategic management and relationship building and maintenance, the study examines the potential effects of Strategic Leadership 5.0. It offers insights into decision-making and design thinking, proposes research directions and outlines a roadmap for developing Strategic Leadership 5.0 models aimed at enhancing organisational performance, with practical, theoretical, and implementable implications for policy."
The Confluence of Digital Twin and Blockchan Technologies in Industry 5.0: Transforming Supply Chain Management for Innovation and Sustainability,Journal of the Knowledge Economy,,,,10.1007/s13132-024-02151-0,Zhen ZhenYanqing Yao,2024,https://link.springer.com/article/10.1007/s13132-024-02151-0,Article,"In the era of Industry 5.0, characterized by the seamless collaboration between humans and machines, the integration of digital twin technology (DTT) and blockchain technology (BCT) is poised to revolutionize supply chain management. This research explores the impact of DTT and BCT on achieving sustainable and efficient supply chain operations. Digital twins, virtual replicas of physical systems, enable real-time analysis and simulations, enhancing decision-making and operational efficiency. Simultaneously, blockchain technology ensures transparency and security in supply chains by maintaining unchangeable transaction records. This paper delves into the advantages and challenges presented by these technologies, examining real-world case studies across various industries. The study reveals that the combination of DTT and BCT creates a symbiotic relationship, driving continuous monitoring and validation of supply chain processes. This integration aligns with global sustainability goals, emphasizing resource optimization and waste reduction. However, data privacy, scalability, and interoperability remain significant barriers. A comprehensive approach is advocated to overcome these challenges, emphasizing ethical and environmental norms. Furthermore, this research offers insights into the mediating role of sustainable supply chain management (SSCM) practices and dynamic capabilities in the relationship between Industry 5.0 technologies and operational resource utilization (ORU) performance. It highlights the need for a sophisticated strategy in implementing technology adoption initiatives. This study contributes to theoretical advancements in Industry 5.0 by elucidating the complex interactions between DTT, BCT, and SSCM, paving the way for future research. Additionally, it provides valuable policy implications, guiding policymakers to prioritize innovation, transparency, and sustainability in the industrial sector. Integrating DTT and BCT can reshape supply chain dynamics, fostering a future marked by efficiency, innovation, and environmental responsibility."
